experimental_code,individual_number,Species,Developmental_stage,treatment,Lineage,death_date,death_cause,dose_date_1,dose_1_ZSP,dose_1,dose_date_2,dose_2_ZSP,dose_2,dose_date_3,dose_3_ZSP,dose_3,dose_date_4,dose_4_ZSP,dose_4,dose_date_5,dose_5_ZSP,dose_5,dose_date6,dose_6_ZSP,dose_6,dose_date_7,dose_7_ZSP,dose_7,dose_date_8,dose_8_ZSP,dose_8,swab_date_1,date_extracted,swab_date_2,date_extracted,swab_date_3,date_extracted,qPCR_plate_date,GLP_quant_mean,CAPE_quant_mean,mouth_parts_plate,GLP_quant_mean,GPL_GE,CAPE_quant_mean,CAPE_GE
C1,205,alytes muletensis,tadpole,C,CONTROL,15_12_2015,end_of_exper,08_11_2014,SHAM,SHAM,10_11_2014,SHAM,SHAM,12_11_2014,SHAM,SHAM,14_11_2014,SHAM,SHAM,25_11_2014,SHAM,SHAM,27_11_2014,SHAM,SHAM,29_11_2014,SHAM,SHAM,02_12_2014,SHAM,SHAM,29_10_2014,08_04_2015,20_11_2014,23_04_2015,15_12_2014,18_05_2015,NA,NA,NA,Alytes_tads_GPLVSCAPE_plate1_8_5_17.eds,0,0,0,0
C2,221,alytes muletensis,tadpole,C,CONTROL,15_12_2015,end_of_exper,08_11_2014,SHAM,SHAM,10_11_2014,SHAM,SHAM,12_11_2014,SHAM,SHAM,14_11_2014,SHAM,SHAM,25_11_2014,SHAM,SHAM,27_11_2014,SHAM,SHAM,29_11_2014,SHAM,SHAM,02_12_2014,SHAM,SHAM,29_10_2014,08_04_2015,20_11_2014,23_04_2015,15_12_2014,18_05_2015,NA,NA,NA,Alytes_tads_GPLVSCAPE_plate1_8_5_17.eds,0,0,0,0
C3,208,alytes muletensis,tadpole,C,CONTROL,15_12_2015,end_of_exper,08_11_2014,SHAM,SHAM,10_11_2014,SHAM,SHAM,12_11_2014,SHAM,SHAM,14_11_2014,SHAM,SHAM,25_11_2014,SHAM,SHAM,27_11_2014,SHAM,SHAM,29_11_2014,SHAM,SHAM,02_12_2014,SHAM,SHAM,29_10_2014,08_04_2015,20_11_2014,23_04_2015,15_12_2014,18_05_2015,NA,NA,NA,Alytes_tads_GPLVSCAPE_plate1_8_5_17.eds,0,0,0,0
C4,194,alytes muletensis,tadpole,C,CONTROL,15_12_2015,end_of_exper,08_11_2014,SHAM,SHAM,10_11_2014,SHAM,SHAM,12_11_2014,SHAM,SHAM,14_11_2014,SHAM,SHAM,25_11_2014,SHAM,SHAM,27_11_2014,SHAM,SHAM,29_11_2014,SHAM,SHAM,02_12_2014,SHAM,SHAM,29_10_2014,08_04_2015,20_11_2014,23_04_2015,15_12_2014,18_05_2015,NA,NA,NA,Alytes_tads_GPLVSCAPE_plate1_8_5_17.eds,0,0,0,0
C5,134,alytes muletensis,tadpole,C,CONTROL,15_12_2015,end_of_exper,08_11_2014,SHAM,SHAM,10_11_2014,SHAM,SHAM,12_11_2014,SHAM,SHAM,14_11_2014,SHAM,SHAM,25_11_2014,SHAM,SHAM,27_11_2014,SHAM,SHAM,29_11_2014,SHAM,SHAM,02_12_2014,SHAM,SHAM,29_10_2014,08_04_2015,20_11_2014,23_04_2015,15_12_2014,18_05_2015,NA,NA,NA,Alytes_tads_GPLVSCAPE_plate1_8_5_17.eds,0,0,0,0
C6,182,alytes muletensis,tadpole,C,CONTROL,15_12_2015,end_of_exper,08_11_2014,SHAM,SHAM,10_11_2014,SHAM,SHAM,12_11_2014,SHAM,SHAM,14_11_2014,SHAM,SHAM,25_11_2014,SHAM,SHAM,27_11_2014,SHAM,SHAM,29_11_2014,SHAM,SHAM,02_12_2014,SHAM,SHAM,29_10_2014,08_04_2015,20_11_2014,23_04_2015,15_12_2014,18_05_2015,NA,NA,NA,Alytes_tads_GPLVSCAPE_plate1_8_5_17.eds,0,0,0,0
C7,72,alytes muletensis,tadpole,C,CONTROL,15_12_2015,end_of_exper,08_11_2014,SHAM,SHAM,10_11_2014,SHAM,SHAM,12_11_2014,SHAM,SHAM,14_11_2014,SHAM,SHAM,25_11_2014,SHAM,SHAM,27_11_2014,SHAM,SHAM,29_11_2014,SHAM,SHAM,02_12_2014,SHAM,SHAM,29_10_2014,08_04_2015,20_11_2014,23_04_2015,15_12_2014,18_05_2015,NA,NA,NA,Alytes_tads_GPLVSCAPE_plate1_8_5_17.eds,0,0,0,0
C8,33,alytes muletensis,tadpole,C,CONTROL,15_12_2015,end_of_exper,08_11_2014,SHAM,SHAM,10_11_2014,SHAM,SHAM,12_11_2014,SHAM,SHAM,14_11_2014,SHAM,SHAM,25_11_2014,SHAM,SHAM,27_11_2014,SHAM,SHAM,29_11_2014,SHAM,SHAM,02_12_2014,SHAM,SHAM,29_10_2014,08_04_2015,20_11_2014,23_04_2015,15_12_2014,18_05_2015,NA,NA,NA,Alytes_tads_GPLVSCAPE_plate1_8_5_17.eds,0,0,0,0
C9,232,alytes muletensis,tadpole,C,CONTROL,15_12_2015,end_of_exper,08_11_2014,SHAM,SHAM,10_11_2014,SHAM,SHAM,12_11_2014,SHAM,SHAM,14_11_2014,SHAM,SHAM,25_11_2014,SHAM,SHAM,27_11_2014,SHAM,SHAM,29_11_2014,SHAM,SHAM,02_12_2014,SHAM,SHAM,29_10_2014,08_04_2015,20_11_2014,23_04_2015,15_12_2014,18_05_2015,NA,NA,NA,Alytes_tads_GPLVSCAPE_plate1_8_5_17.eds,0,0,0,0
C10,35,alytes muletensis,tadpole,C,CONTROL,15_12_2015,end_of_exper,08_11_2014,SHAM,SHAM,10_11_2014,SHAM,SHAM,12_11_2014,SHAM,SHAM,14_11_2014,SHAM,SHAM,25_11_2014,SHAM,SHAM,27_11_2014,SHAM,SHAM,29_11_2014,SHAM,SHAM,02_12_2014,SHAM,SHAM,29_10_2014,08_04_2015,20_11_2014,23_04_2015,15_12_2014,18_05_2015,NA,NA,NA,Alytes_tads_GPLVSCAPE_plate1_8_5_17.eds,0,0,0,0
