experimental_code,Species,treatment,death_date,death_cause,weight_date_1,weight_1,weight_date_2,weight_2,GPL_GE,GPL_Pos_Neg,CAPE_GE,CAPE_Pos_Neg
C/1,bufobufo,Control,18.08.2014,end_of_exsperiment,17.07.2014,0.11,18.08.2014,0.13,0,0,0,0
C/2,bufobufo,Control,31.07.2014,mort,17.07.2014,0.136,NA,NA,0,0,0,0
C/3,bufobufo,Control,18.08.2014,end_of_exsperiment,17.07.2014,0.095,18.08.2014,0.133,0,0,0,0
C/4,bufobufo,Control,18.08.2014,end_of_exsperiment,17.07.2014,0.084,18.08.2014,0.07,0,0,0,0
C/5,bufobufo,Control,18.08.2014,end_of_exsperiment,17.07.2014,0.092,18.08.2014,0.093,0,0,0,0
C/6,bufobufo,Control,16.08.2014,mort,17.07.2014,0.11,NA,NA,0,0,0,0
C/7,bufobufo,Control,17.08.2014,mort,17.07.2014,0.127,NA,NA,0,0,0,0
C/8,bufobufo,Control,31.07.2014,mort,17.07.2014,0.094,NA,NA,0,0,0,0
C/9,bufobufo,Control,16.08.2014,mort,17.07.2014,0.067,NA,NA,0,0,0,0
C/10,bufobufo,Control,16.08.2014,mort,17.07.2014,0.096,NA,NA,0,0,0,0
C/11,bufobufo,Control,18.08.2014,end_of_exsperiment,17.07.2014,0.146,18.08.2014,0.163,0,0,0,0
C/12,bufobufo,Control,17.08.2014,mort,17.07.2014,0.118,NA,NA,0,0,0,0
C/13,bufobufo,Control,18.08.2014,end_of_exsperiment,17.07.2014,0.164,18.08.2014,0.148,0,0,0,0
C/14,bufobufo,Control,18.08.2014,end_of_exsperiment,17.07.2014,0.074,18.08.2014,0.147,0,0,0,0
C/15,bufobufo,Control,18.08.2014,end_of_exsperiment,17.07.2014,0.152,18.08.2014,0.16,0,0,0,0
C/16,bufobufo,Control,18.08.2014,end_of_exsperiment,17.07.2014,0.125,18.08.2014,0.177,0,0,0,0
C/17,bufobufo,Control,18.08.2014,end_of_exsperiment,17.07.2014,0.088,18.08.2014,0.138,0,0,0,0
C/18,bufobufo,Control,18.08.2014,end_of_exsperiment,17.07.2014,0.092,18.08.2014,,0,0,0,0
C/19,bufobufo,Control,18.08.2014,end_of_exsperiment,17.07.2014,0.17,18.08.2014,0.153,0,0,0,0
C/20,bufobufo,Control,18.08.2014,end_of_exsperiment,17.07.2014,0.092,18.08.2014,0.108,0,0,0,0
C/21,bufobufo,Control,18.08.2014,end_of_exsperiment,17.07.2014,0.122,18.08.2014,0.142,0,0,0,0
C/22,bufobufo,Control,18.08.2014,end_of_exsperiment,17.07.2014,0.123,18.08.2014,0.142,0,0,0,0
C/23,bufobufo,Control,28.07.2014,mort,17.07.2014,0.079,NA,NA,0,0,0,0
C/24,bufobufo,Control,18.08.2014,end_of_exsperiment,17.07.2014,0.071,18.08.2014,0.13,0,0,0,0
C/25,bufobufo,Control,18.08.2014,end_of_exsperiment,17.07.2014,0.179,18.08.2014,0.172,0,0,0,0
C/26,bufobufo,Control,18.08.2014,end_of_exsperiment,17.07.2014,0.134,18.08.2014,0.19,0,0,0,0
C/27,bufobufo,Control,18.08.2014,end_of_exsperiment,17.07.2014,0.113,18.08.2014,0.15,0,0,0,0
C/28,bufobufo,Control,07.08.2014,mort,17.07.2014,0.063,NA,NA,0,0,0,0
C/29,bufobufo,Control,18.08.2014,end_of_exsperiment,17.07.2014,0.099,18.08.2014,0.135,0,0,0,0
C/30,bufobufo,Control,18.08.2014,end_of_exsperiment,17.07.2014,0.177,18.08.2014,0.16,0,0,0,0
C/31,bufobufo,Control,18.08.2014,end_of_exsperiment,17.07.2014,0.115,18.08.2014,0.155,0,0,0,0
C/32,bufobufo,Control,18.08.2014,end_of_exsperiment,17.07.2014,0.101,18.08.2014,0.195,0,0,0,0
C/33,bufobufo,Control,18.08.2014,end_of_exsperiment,17.07.2014,0.072,18.08.2014,0.154,0,0,0,0
C/34,bufobufo,Control,18.08.2014,end_of_exsperiment,17.07.2014,0.127,18.08.2014,0.185,0,0,0,0
C/35,bufobufo,Control,18.08.2014,end_of_exsperiment,17.07.2014,0.078,18.08.2014,0.133,0,0,0,0
01-Jan,bufobufo,HSACAPE,18.08.2014,end_of_exsperiment,17.07.2014,0.103,18.08.2014,0.119,NA,NA,0.945302248,1
01-Feb,bufobufo,HSACAPE,18.08.2014,end_of_exsperiment,17.07.2014,0.136,18.08.2014,0.154,NA,NA,0,0
01-Mar,bufobufo,HSACAPE,18.08.2014,end_of_exsperiment,17.07.2014,0.084,18.08.2014,0.095,NA,NA,4.155015945,1
01-Apr,bufobufo,HSACAPE,18.08.2014,end_of_exsperiment,17.07.2014,0.103,18.08.2014,0.116,NA,NA,0,0
01-May,bufobufo,HSACAPE,25.07.2014,mort,17.07.2014,0.124,NA,NA,NA,NA,0.383559652,1
01-Jun,bufobufo,HSACAPE,18.08.2014,end_of_exsperiment,17.07.2014,0.116,18.08.2014,0.1,NA,NA,0.211660955,1
01-Jul,bufobufo,HSACAPE,18.08.2014,end_of_exsperiment,17.07.2014,0.132,18.08.2014,0.144,NA,NA,0.718584657,1
01-Aug,bufobufo,HSACAPE,02.08.2014,mort,17.07.2014,0.089,NA,NA,NA,NA,4.68793273,1
01-Sep,bufobufo,HSACAPE,01.08.0214,mort,17.07.2014,0.124,NA,NA,NA,NA,0.905104727,1
01-Oct,bufobufo,HSACAPE,02.08.2014,Euthanise,17.07.2014,0.109,NA,NA,NA,NA,2.766627669,1
01-Nov,bufobufo,HSACAPE,18.08.2014,end_of_exsperiment,17.07.2014,0.118,18.08.2014,0.119,NA,NA,0,0
01-Dec,bufobufo,HSACAPE,18.08.2014,end_of_exsperiment,17.07.2014,0.106,18.08.2014,0.117,NA,NA,0.827977061,1
