Code,Individual,Lineage,Dose,Treatment,GE
2/35,35,SAGPL,H,SAGPL_H,0
3\16x,50,SAGPL,L,SAGPL_L,0
7\23,194,EUGPL,L,EUGPL_L,0
5\22,120,EUCAPE,L,EUCAPE_L,4.44854E-07
5\13,109,EUCAPE,L,EUCAPE_L,0.000168366
3\27,61,SAGPL,L,SAGPL_L,0.000566688
5\27,124,EUCAPE,L,EUCAPE_L,0.000652182
5\21,119,EUCAPE,L,EUCAPE_L,0.00233998
3\26x,60,SAGPL,L,SAGPL_L,0.00595326
3/7,42,SAGPL,L,SAGPL_L,0.00939624
3\19,53,SAGPL,L,SAGPL_L,0.00952768
5\4,134,EUCAPE,L,EUCAPE_L,0.0101721
3/3,38,SAGPL,L,SAGPL_L,0.0108981
3\28,62,SAGPL,L,SAGPL_L,0.0141866
3\15,49,SAGPL,L,SAGPL_L,0.0234346
6\16,155,EUCAPE,H,ECAPE_H,0.0278486
6\7,146,EUCAPE,H,ECAPE_H,0.0288878
3\25,59,SAGPL,L,SAGPL_L,0.0455743
3/1,36,SAGPL,L,SAGPL_L,0.0494025
3/8,43,SAGPL,L,SAGPL_L,0.0506463
6\15,154,EUCAPE,H,ECAPE_H,0.0518669
3/4,39,SAGPL,L,SAGPL_L,0.0571748
3/2,37,SAGPL,L,SAGPL_L,0.0630903
6\8,147,EUCAPE,H,ECAPE_H,0.0656078
3\10,45,SAGPL,L,SAGPL_L,0.0688878
3\12,47,SAGPL,L,SAGPL_L,0.0708192
3/5,40,SAGPL,L,SAGPL_L,0.0747224
2/6,6,SAGPL,H,SAGPL_H,0.0755072
6\20,159,EUCAPE,H,ECAPE_H,0.0936266
4\25,95,EUGPL,H,EUGPL_H,0.0956867
6\4,143,EUCAPE,H,ECAPE_H,0.0998989
5\14X,110,EUCAPE,L,EUCAPE_L,0.106391
3\5x,70,SAGPL,L,SAGPL_L,0.114356
2/34,34,SAGPL,H,SAGPL_H,0.115834
4\22,92,EUGPL,H,EUGPL_H,0.125723
6\11,150,EUCAPE,H,ECAPE_H,0.137291
2/31,31,SAGPL,H,SAGPL_H,0.138785
2/32,32,SAGPL,H,SAGPL_H,0.165477
3\31,65,SAGPL,L,SAGPL_L,0.172418
3\29,63,SAGPL,L,SAGPL_L,0.182532
3\13,48,SAGPL,L,SAGPL_L,0.195604
3\22,56,SAGPL,L,SAGPL_L,0.227616
3\24,58,SAGPL,L,SAGPL_L,0.243099
6\19,158,EUCAPE,H,ECAPE_H,0.318516
3\17,51,SAGPL,L,SAGPL_L,0.323696
6\21,160,EUCAPE,H,ECAPE_H,0.338814
6\10,149,EUCAPE,H,ECAPE_H,0.339079
2/12,12,SAGPL,H,SAGPL_H,0.369632
6\2,141,EUCAPE,H,ECAPE_H,0.491061
2/17,17,SAGPL,H,SAGPL_H,0.49683
2/23,23,SAGPL,H,SAGPL_H,0.555104
6\1,140,EUCAPE,H,ECAPE_H,0.555778
6\30,169,EUCAPE,H,ECAPE_H,0.588147
3\34,68,SAGPL,L,SAGPL_L,0.640136
2/33,33,SAGPL,H,SAGPL_H,0.644514
6\9,148,EUCAPE,H,ECAPE_H,0.661579
2/8,8,SAGPL,H,SAGPL_H,0.665704
2/13,13,SAGPL,H,SAGPL_H,0.672403
2/2,2,SAGPL,H,SAGPL_H,0.750775
3\35,69,SAGPL,L,SAGPL_L,0.764881
6\18,157,EUCAPE,H,ECAPE_H,0.766884
3\33,67,SAGPL,L,SAGPL_L,0.768071
3\11x,46,SAGPL,L,SAGPL_L,0.786185
2/30,30,SAGPL,H,SAGPL_H,0.829865
3\30,64,SAGPL,L,SAGPL_L,0.836688
3\32,66,SAGPL,L,SAGPL_L,0.845156
2/11,11,SAGPL,H,SAGPL_H,0.896089
4\35,105,EUGPL,H,EUGPL_H,0.913484
2/3,3,SAGPL,H,SAGPL_H,1.02587
7\30,201,EUGPL,L,EUGPL_L,1.11
2/26,26,SAGPL,H,SAGPL_H,1.15047
6\5,144,EUCAPE,H,ECAPE_H,1.32375
2/27,27,SAGPL,H,SAGPL_H,1.48447
2/28,28,SAGPL,H,SAGPL_H,1.49854
2/7,7,SAGPL,H,SAGPL_H,1.52165
2/20,20,SAGPL,H,SAGPL_H,1.62647
3\20,54,SAGPL,L,SAGPL_L,1.63729
6\13,152,EUCAPE,H,ECAPE_H,1.74081
6\3,142,EUCAPE,H,ECAPE_H,1.74505
7\10,181,EUGPL,L,EUGPL_L,1.8
2/14,14,SAGPL,H,SAGPL_H,1.80392
2/24,24,SAGPL,H,SAGPL_H,1.82202
2/15,15,SAGPL,H,SAGPL_H,1.82914
6\14,153,EUCAPE,H,ECAPE_H,1.88319
2/4,4,SAGPL,H,SAGPL_H,1.92083
4\11,81,EUGPL,H,EUGPL_H,1.92125
2/5,5,SAGPL,H,SAGPL_H,1.95188
2/22,22,SAGPL,H,SAGPL_H,1.98298
6\12,151,EUCAPE,H,ECAPE_H,2.04512
6\17,156,EUCAPE,H,ECAPE_H,2.17287
2/18,18,SAGPL,H,SAGPL_H,2.31288
2/29,29,SAGPL,H,SAGPL_H,2.38128
2/25,25,SAGPL,H,SAGPL_H,2.51494
2/1,1,SAGPL,H,SAGPL_H,2.79843
2/19,19,SAGPL,H,SAGPL_H,2.89814
7\19,190,EUGPL,L,EUGPL_L,3.25
2/9,9,SAGPL,H,SAGPL_H,3.386
7\2,174,EUGPL,L,EUGPL_L,3.47
4\32,102,EUGPL,H,EUGPL_H,3.8
2/21,21,SAGPL,H,SAGPL_H,3.86821
7\26,197,EUGPL,L,EUGPL_L,3.95
4\27,97,EUGPL,H,EUGPL_H,4.0474
7\29,200,EUGPL,L,EUGPL_L,4.28
2/10,10,SAGPL,H,SAGPL_H,4.63594
4\8,78,EUGPL,H,EUGPL_H,5.0438
7\13,184,EUGPL,L,EUGPL_L,5.05
7\7,179,EUGPL,L,EUGPL_L,6.44
